AGENT_NO	CODE	SUB_NO	REMARKS	REFUND	DES	INI	NAME	DEPT	INSTITUTE	ADDRESS	CITY	DISTT	COUNTRY	PIN	FASC	P	NOP	JAA	NOJAA	MS	NOMS	EPS	NOEPS	BMS	NOBMS	CS	NOCS	S	NOS	JB	NOJB	JG	NOJG	RES	NORES	AS	NOAS	CURR	NOCURR	PAID_FLAG	REMARK	ST_YR	END_YR	ST_DT	END_DT	AGENT	B	AN	AD	AD1	AD2	AC	ACO	CANCEL	EMAIL	TEL
0	FI	2					Institut De Radio Astronomie (IRAM)	"Millimetrique,300 Rue de le Piscine"	Domaine Universitaire	F-38406 Saint Martin d'Heres	St Martin d'Heres		France			0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	0	0		12/31/1995											
0	FI	3					Elsevier	Bibliographic Databases	Attn Ms Stijntje A Hallink	P.O.Box 2227	Amsterdam 1000 CE		Netherlands			0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	EPS   AIR MAIL	2006	2006		12/31/1996											
0	FI	4					Universitetet I Oslo	Inst. F. Theoretisk Asrofysikk	Post Box No. 1029	Blindern	Oslo 0315		Norway			0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		JAA   AIR MAIL	1989	2006		12/31/1995											
0	FI	5		client see sub No. 1			Parrys Book Center Sdn.Bhd (UTMSS)	UTMSS	P.O. Box 10960		Kuala Lumpur 50730		Malaysia			0	0	0	0	3	1	1	1	0	0	3	1	2	1	2	1	0	0	0	0	0	0	3	1	Y	CURR   AIR MAIL	95	97	1/1/1995	12/31/1995	Parry's book Center										
0	FI	6					Institute For Advance Studies	Dunsink Observatory Library	Castleknock		Dublin - 15		Ireland			0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		JAA   AIR MAIL	1989	2006		12/31/1995											
0	FI	7					D.S. Diffusioni Scientifiche	(Ref : ASTR- BO)	Via S.Stefano 13		40125 Bologna		Italy			0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	89	2002	1/1/1989	12/31/1996											
0	FI	10	Cancelled Subs. from 2003 - Lett. 8/5/2003				Institut fur Theoretische -	Astrophysik	Ruprecht-Karls-Universitat	Tiergartenstr	Heidelberg D- 69121		Germany			0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	89	2002	1/1/1989	12/31/1995											
0	FI	11					Technische Universitat Berlin	Universitatsbibliothek	"Abt. Physik, Serk PN  2-2"	Hardenbergstr.36	10623 Berlin		Germany			0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	89	2002	1/1/2002	12/31/1995											
0	FI	670		CURR TO BE STOPPED FORM JAN 1996			Hong Kong University of Science &	"Technology, Library - Acquisitions"	"Department,  TAI  PO  TSAI"	Clear Water Bay Road	Kowloon		Hong Kong			9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	Y	CURR   AIR MAIL	90	1998	1/1/1990	12/31/1996	Prints										
0	FI	13					Cambridge University (Ref.29483859)	Institute of Astronomy Library	The Observatories	Madingley Road	Cambridge CB3 0HA		England			0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2006		12/31/1996	Prints / Blackwells										
0	FI	14					Instituto de Astronomia UNAM	Observatorio Astronomico Nacional	P.O. Box 439027	San Diego	CA 92143-9027		U.S.A.			0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2006		12/31/1996											
0	FI	15					Hamburger Sternwarte	Bibliothek (Universitat Hamburg)	Gojenbergsweg 112		"Hamburg 80, D-21029"		Germany			0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2006		12/31/1995											
0	FI	18					Stockholm University	Department of Mathematics			S-106 91 Stockholm		Sweden			0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	MS   AIR MAIL	89	2001	1/1/1989	12/31/1993											
0	FI	19					Royal Botanic Garden	The Library	Inverleith Row		Edinburgh EH3 5LR		Scotland			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	5	1	Y	CURR   AIR MAIL	1989	2006		12/31/1996	Prints / Blackwells										
0	FI	20					Yale University	Department of Astronomy	P.O. Box 208101	260 Whitney Avenue	New Haven CT 06520-8101		U.S.A.			0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	Y	JAA   AIR MAIL	1989	2006	1/1/2001	12/31/1995											
0	FI	21					Natural History Museum	Department of Library Services	Acquisitions Section	"Cromwell Road, South Kensington"	London SW7 5BD		U.K.			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0	14	1	Y	JG   AIR MAIL	1989	2011		12/31/1995											
0	FI	22					European Southern Observatory	ESO Library	Casilla 19001	Santiago 19	Chile		South America			0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2006		12/31/1995	"ESO, Germany(S/23)"										
0	FI	23					European Southern Observatory	ESO Library	Karl-Schwarzschild-Str. 2	D-85748 Garching bei Muenchen	Munich		Germany			0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2006		12/31/1995											
0	FI	24					Helsinki University	Obs. & Astrop. Lab.	The Librarian	SF-00014 University of Helsinki	00014 Helsingin		Finland			0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2005	1/1/1989	12/31/1995											
0	FI	25					The University of the West Indies	Serials & Exchange Acquisition Unit	The Main Library	"St. Augustine, Trinidad"	Trinidad & Tobago		West Indies			6	1	6	1	9	1	13	1	13	1	13	1	6	1	6	1	13	1	0	0	0	0	13	1	Y	RES   AIR MAIL	1996	2007		12/31/1995											
0	FI	27					University of Northern Iowa	Periodicals - Rod Library	1227 West 27th Street	"Cedar Falls, Iowa"	IA 50613-3675		U.S.A.			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	Y	JG   AIR MAIL	1989	2006		12/31/1996	Prints / Dawson										
0	FI	28					South African Astronomical	Observatory	The Librarian	P.O. Box 9	Cape 7935		South Africa			0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2006		12/31/1995											
0	FI	30					Basel University	Astronomical Institute	Venusstrasse 7	4102 Binningen Bl	Binningen		Switzerland			0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		JAA   AIR MAIL	89	2001	1/1/1989	12/31/1995											
0	FI	31					Canada Institute for  S T I	Serial Acquisitions	National Research Council	Ottawa	Ontario  K1A 0S2		Canada			0	0	13	1	0	0	0	0	13	1	0	0	13	1	13	1	13	1	0	0	0	0	0	0	Y	JG   AIR MAIL	1989	2006		12/31/1995											
0	FI	32	add change 27/9/7				Toronto University Libraries	Serials Section	"369 Huron St.,"	"Toronto, Ontario"	Toronto Ont. M5S 1A2		Canada			0	0	15	1	0	0	0	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	15	1	Y	CURR   AIR MAIL	1989	2009		12/31/1995											
0	FI	36					National Library of Medicine	Serial Records Section	8600 Rockville Pike	Bethesda	MD. 20894		U.S.A.			0	0	0	0	0	0	0	0	0	0	5	1	0	0	3	1	8	1	0	0	0	0	5	1	Y	JG   AIR MAIL	89	2002	1/1/1989	12/31/1993											
0	FI	39					Parks Library	Serials Acquisitions Department	Iowa State University of S & T	Ames	Iowa 50011-2140		U.S.A.			0	0	0	0	0	0	0	0	14	1	0	0	14	1	0	0	0	0	0	0	0	0	0	0	Y	BMS	1989	2006		12/31/1995											
0	FI	41					University of Centerbury	University Library	Private Bag 4800		Christchurch		New Zealand			0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2006	1/1/1989	12/31/1995											
0	FI	42		Cancelled Vide 47719516 dt 2.5.1997			Techn. Hogeschool	Bibliotheek	Faculteit der Metaalkunde	Rofferdamseweg 137	"2628 AL  Delft,"		Holland			0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	Y	CURR   AIR MAIL	89	95	1/1/1989	12/31/1995											
0	FI	43					Indiana University Library	Serials Department	"1320 E, 10th Street"	Bloomington	Indiana 47405-1801		U.S.A.			7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0	0	0	Y	JG   AIR MAIL	1989	2006		12/31/1994											
0	FI	45					Woodman Astronomical Library	University of Wisconsin Madison	475 N Charter Street	Madison	WI 53706		U.S.A.			0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2006		12/31/1996											
0	FI	46					AURA Inc.	c/o National Optical Astronomy	Observatory	"950 N. Cherry Ave.,  Tucson"	AZ 85719		U.S.A.			0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA *********          2 COPIES   AIR MA	1989	2006		12/31/1995											
0	FI	48		BMS/JB/JG TO BE Cancelled from 1999			ETH - Bibliothek	Zeitschriften	Ramistrasse 101		CH 8092 Zurich		Switzerland			0	0	9	1	0	0	0	0	10	1	0	0	9	1	10	1	10	1	0	0	0	0	11	1	Y	JG   AIR MAIL	89	2001	1/1/1989	12/31/1995											
0	FI	49	For 2007 only CURR renewed				Technische Informationsbibliothek	Und Universitatsbibliothek Hannover	Team Zeitschriften (TIB-UB)	Welfengarten 1B	D-30167 Hannover		Germany			13	1	13	1	13	1	13	1	13	1	13	1	13	1	11	1	6	1	0	0	0	0	14	1	Y	JG   AIR MAIL	1989	2011		12/31/1994											
0	FI	50	Due to shortage P 60/1 not supplied 3/6/04				University of Colorado	Serials Acquisitions Department	"Norlin Library, Univ Campus Box 184"	Boulder	Colorado 80309-0184		U.S.A.			15	1	2	1	16	1	16	1	0	0	15	1	0	0	14	1	0	0	0	0	0	0	8	1	Y	CURR   AIR MAIL	1989	2009		12/31/1996	Prints										
0	FI	51					University of South Carolina	Serials Acquisitions	Thomas Cooper Library (001ABL8700)	"Columbia, South Carolina"	SC 29208		U.S.A.			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	Y	CURR   AIR MAIL	1989	2008		12/31/1996	Prints										
0	FI	52					Stockholms Observatorium	SCFAB		Institutionen for Astronomi	SE-106 91 Stockholm		Sweden			0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	89	2003	1/1/1989	12/31/1995											
0	FI	53					Philippines University at Los Banos	University Library	4031 College		Laguna  3720		Philippines			10	1	0	0	10	1	0	0	10	1	10	1	0	0	10	1	0	0	0	0	0	0	0	0	Y	MS   AIR MAIL	89	2001	1/1/1989	12/31/1996											
0	FI	54					Astronomische Institute	Bonn University	Bibliothek	Auf dem Huegel 71	D-53121 Bonn		Germany			0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2006		12/31/1996											
0	FI	58					Marriott Library	University of Utah	Serials Order Department	"295 S 1500 E RM Dock,Salt Lake City"	UT 84112-0860		U.S.A.			0	0	0	0	12	1	14	1	0	0	10	1	3	1	1	1	3	1	0	0	0	0	0	0	Y	JG   AIR MAIL	1989	2006		12/31/1996	Prints										
0	FI	59					"Western Australia, University of"	"7444, Library"	Periodicals Department	Nedlands	WA  6009		Australia			0	0	0	0	9	1	4	1	0	0	5	1	0	0	0	0	1	1	0	0	0	0	0	0	Y	JG   AIR MAIL	89	1998	1/1/1989	12/31/1996	Prints										
0	FI	60					Canada Institute for STI Daov		5071 West Saanich Road	"Victoria, British Columbia"	BritishColumbia V9E 2E7		Canada			0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	MS   AIR MAIL	2005	2006		12/31/1996	Prints										
0	FI	61					Queensland University	Serials Section	Central Library		Queensland  4072		Australia			0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	6	1	Y	CURR   AIR MAIL	89	94	1/1/1989	12/31/1994	"Prints India,Delhi"										
0	FI	62					Bielefeld University	"Universitatsbibliothek, Librarian"	UniversitatsstraBe 25	Postfach  10 02 91	D-33502 Bielefeld		Germany			0	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	MS   AIR MAIL	1989	2006		12/31/1995											
0	FI	63					Stichting Astron Bibliotheek	Oude Hoogeveensedijk 4	Dwingeloo		7991 PD Dwingeloo		The Netherlands			0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	CURR   AIR MAIL	2005	2006		12/31/1996	Prints										
0	FI	64					Zentralbibl. Fur Physik In  Wien	Journals Deptartment	Boltzmanngasse 5	A-1090 Vienna	Vienna A-1090		Austria			11	1	0	0	10	1	9	1	11	1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	Y	MS   AIR MAIL	89	2002	1/1/1989	12/31/1996											
0	FI	65					U.S. Naval Station	N61755	"Navsta Library,  PSC 455"	"Box 174,  FPO  AP,  California"	CA 96540-1000		U.S.A.			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	Y	CURR   AIR MAIL	91	94	1/1/1991	12/31/1994	"Readmore, USA"										
0	FI	66					Lehmanns Fachbuchhandlung	Siz Service Internationale	Zeitschriften	Hardenbergstr. 5	10623 Berlin		Germany			0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	14	1	0	0	0	0	8	1	Y	JG   AIR MAIL	1989	2006		12/31/1996	"Lehmanns, Germany"									siz@lehmanns.de	
0	FI	67					Max-Planck-Institut	Fuer Astronomie/Bibliothek	Koenigstuhl 17	Heidelberg	Heidelberg 69117		Germany			0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2006		12/31/1996	Prints										
0	FI	68					Max Planck Institut fuer	"Astrophysik, Astrobibliothek"	Karl Schwarzschild Strasse 1	85748 Garching Bei	Muenchen 85748		Germany			0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JG   AIR MAIL	2002	2006		12/31/1991											
0	FI	69					"Princeton University, The Library"	(P.O. 8600065116-P; 58871-JAA;26488	-MS; 16340-AS;04592-CURR;01490-JG)	"One Washington Road, Princeton"	New Jersey  08544		U.S.A.			6	1	6	1	6	1	0	0	0	0	0	0	0	0	4	1	6	1	0	0	0	0	6	1	Y	JG   AIR MAIL	89	94	1/1/1989	12/31/1994											
0	FI	70					Beulah Elem. School	Attn: Library	"1150, Burnt Hickory"	Douglasville	GA. 30134		U.S.A.			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Y	CURR   AIR MAIL	89	89	1/1/1989	12/31/1989											
0	FI	71					Sistema De Bibliotecas	Universidad de Puerto Rico	Bib Ciencias Naturales	"P.O. Box 22446, San Juan"	PR 00931-3302		U.S.A.			4	1	0	0	14	1	14	1	0	0	14	1	14	1	9	1	0	0	0	0	0	0	0	0	Y	MS   AIR MAIL	1989	2004	1/1/1989	12/31/1996											
0	FI	72		PJ JG 75/1 sent on 22.01.1997			Davis Library  CB# 3938	Serials Department	University of North Carolina	"Chapel Hill,  North Carolina"	NC 27514 - 8890		U.S.A.			11	1	0	0	11	1	11	1	0	0	11	1	0	0	9	1	10	1	0	0	0	0	0	0	Y	JG   AIR MAIL	89	2003	1/1/1989	12/31/1995											
0	FI	73					"SUPARCO, H.Qs.,"	Principal Public Relations Officer	"Sector-28, Gulzar-e-Hijri"	P.O. Box No. 8402	Karachi 75270		Pakistan			0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	EPS   AIR MAIL	89	96	1/1/1989	12/31/1994											
0	FI	76					Gulf Coast Research Laboratory	The Gunter Library	(Your ref: 479/AS dt.16 July 1988)	"P.O. Box 7000, Ocean Springs"	MS 39566-7000		U.S.A.			0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	Y	JB   AIR MAIL	89	95	1/1/1989	12/31/1995											
0	FI	78					Observatoire De Geneve Library	Bibliotheque			1290 Sauverny		Switzerland			0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2006		12/31/1995											
0	FI	79					New York Botanical Garden Library	Serials & Exchange	2900 Southern Blvd	Bronx	NY 10458-5153		U.S.A.			0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	Y	JB   AIR MAIL	89	2003	1/1/1989	12/31/1995											
0	FI	80					Hesburgh Library (122)	Serials Records	University of Notre Dame	Notre Dame	IN 46556		U.S.A.			0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	11	1	0	0	0	0	0	0	Y	JG   AIR MAIL	89	2000	1/1/1989	12/31/1996	Martinus										
0	FI	81	Website: www.bl.uk				DSC Serial Accessioning	The British Library	Boston Spa	Wetherby	West Yorkshire LS23 7BQ		U.K.			14	1	14	1	2	1	14	1	14	1	14	1	14	1	14	1	14	1	0	0	0	0	14	1	Y	JG   AIR MAIL	1989	2012		12/31/1995											
0	FI	82					Paley Library (Temple University)	Serials Unit/Biology	1210 W. Berks Street	"Philadelphia, Pennsylvania"	PA 19122		U.S.A.			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	Y	JG   AIR MAIL	1990	2006		12/31/1995	"Prints / Faxon, BGL"										
0	FI	83					Universita Degli Studi Padova	Centro Interdipartimentale Servizi		"Via Trieste, 75"	Padova 35121		Italy (Italia)			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	1	1	0	0	0	0	Y	JG   AIR MAIL	89	2002	1/1/1989	12/31/1995											
0	FI	84					Rosenberg & Sellier s.r.l.	Via A. Doria 14	10123 Torino		Torino		Italy			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	N	JG   AIR MAIL	93	93	1/1/1993	12/31/1993	"Rosenberg, Italia"										
0	FI	85					San Diego State University	Library - Serials (Ref: order Nos.	1920844 for JAA  & 2018998 for JG)	"5500 Campanile Drive, San Diego"	CA 92182-8050		U.S.A.			0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0	0	0	Y	JG   AIR MAIL	1989	2006		12/31/1996	Prints / Blackwells										
0	FI	86					NCI - FCRDC	Scientific Library	P.O. Box  B-Bldg. 549	Frederick	MD. 21702		U.S.A.			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	Y	JG   AIR MAIL	90	96	1/1/1990	12/31/1995	Prints										
0	FI	90					Bibliotheque Mathematique	Universite de Paris Sud	Batiment 425	15 Rue Georges Clemenceau	91450 Orsay Cedex		France			0	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	MS   AIR MAIL	1990	2006		12/31/1995										elisabeth.kneller@math.u-psud.fr	
0	FI	91					Biblioteca Instituto deFmsica UFRGS	Librarian	Biblioteca	Campus Do Vale - C.P.  15051	91501-970 Porto Alegre		Brasil			0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	89	2002	1/1/1989	12/31/1995											
0	FI	92					Tohoku University	G 96247-06	Kita-Aobayama Library	"Aoba, Aramaki, Aoba-Ku"	Sendai 980-8578		Japan (KIN)			0	0	2	1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	MS   AIR MAIL	1992	2006		12/31/1996	Prints / Maruzen										
0	FI	94					Osservatorio Astronomico Di BRERA	"Attn: L. Pastori, Lib. Coordinator"	Via. Bianchi 46	22055 Merate (Como)	Merate		Italy			0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	89	93	1/1/1989	12/31/1993											
0	FI	95					University of California at Irvine	Science Library Serials	"Bldg. 520, P.O. Box 19556"	"Irvine, California"	CA 92623-9556		U.S.A.			0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	Y	JG   AIR MAIL	1990	2006		12/31/1994	"Prints / Faxon, BGL"										
0	FI	96					Osiandersche Buchhandlung	International Book Shop& Sub Agency	Unter dem Holz 25		D-72072 Tuebingen		Germany			0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2004	1/1/1989	12/31/1995	Osiandersche									warenwirtschaft@osiander.de	
0	FI	97					Museum National D'Histoire Naturell	Bibliotheque Centrale	"38 rue Geoffroy, Saint Hilaire"	SCE des Periodiques	75005 Paris		France (Euro-I334)			0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	1	0	0	0	0	12	1	Y	CURR   AIR MAIL	1989	2011		12/31/1996	Prints India /EBSCO										
0	FI	44					Bibliotheque De L Universite De	Picardie - SCD	SCE Periodiques-Section Sciences	15 Placette Lafleur - BP 446	80004 Amiens Cedex 01		France			0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	12	1	Y	CURR   AIR MAIL	1989	2011		12/31/1996	EBSCO										
0	FI	99					Bibliotheque Universitaire Lyon I	I-20DAW	"Sciences - Cadist, Periodiques"	B P 2215	F69622 Villeurbanne		France (Cedex/France			0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	BMS	89	97	1/1/1989	12/31/1996	"Dawson, France"										
0	FI	100					Univ. of California at Los Angeles	Science & Engineering Library	"Serials Department, 8251 Boelter Ha"	"EMS Coll, Box 951598, Los Angeles"	CA 90095-1598		U.S.A.			0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	Y	JG   AIR MAIL	1989	2006		12/31/1996	Prints / Readmore										
0	FI	101					Onsala Rymdobserbatorium		S-439 92 Onsala		Onsala S-439 92		Sweden			0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	JAA   AIR MAIL	1989	2006		12/31/1996	Prints / Tidskrifts										
0	FI	102	SAARC Rate to be charged				Senior Librarian	Central Environmental Authority	"Min. of Environ, Govt. of Sri Lanka"	"Parisara Piyasa, 104 R.G. Mawatha"	Battaramulla		Sri Lanka			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1		CURR   AIR MAIL	2003	0		12/31/1994											
